100,95,84
121,82,58
144,63,78
169,66,67
196,42,77
225,77,99
256,61,78
289,74,101
324,81,101
361,35,118
400,40,105
441,95,125
484,76,116
529,70,125
576,64,145
625,75,152
676,47,182
729,67,148
784,65,144
841,47,158
900,126,186
961,64,234
1024,61,176
1089,62,241
1156,67,215
1225,86,224
1296,65,205
1369,60,255
1444,59,296
1521,51,246
1600,65,234
1681,54,245
1764,65,271
1849,53,258
1936,66,263
2025,58,263
2116,50,261
2209,86,272
2304,79,296
2401,62,287
2500,71,291
2601,66,303
2704,51,331
2809,70,315
2916,67,315
3025,62,314
3136,59,333
3249,64,327
3364,61,341
3481,70,342
3600,67,355
3721,68,370
3844,69,361
3969,61,421
4096,134,427
4225,72,394
4356,62,405
4489,67,524
4624,62,422
4761,71,437
4900,45,433
5041,131,496
5184,67,460
5329,162,637
5476,251,469
5625,71,462
5776,254,531
5929,71,508
6084,53,470
6241,79,492
6400,64,496
6561,61,510
6724,87,521
6889,68,511
7056,59,524
7225,164,591
7396,57,565
7569,65,902
7744,70,563
7921,70,567
8100,65,557
8281,80,544
8464,56,642
8649,65,567
8836,75,625
9025,45,581
9216,63,629
9409,61,589
9604,69,612
9801,49,631
